arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
ShallowCNN,none,1,3.27857,0.2006,2.04154,0.2846,0.099901
ShallowCNN,none,2,1.98156,0.27653,1.86584,0.3364,0.099606
ShallowCNN,none,3,1.90267,0.30916,1.78189,0.365,0.099114
ShallowCNN,none,4,1.81242,0.34053,1.66089,0.3954,0.098429
ShallowCNN,none,5,1.71817,0.37704,1.60982,0.4098,0.097553
ShallowCNN,none,6,1.64556,0.40367,1.51929,0.4518,0.096489
ShallowCNN,none,7,1.58485,0.42664,1.51063,0.4518,0.095241
ShallowCNN,none,8,1.54024,0.43916,1.43925,0.4798,0.093815
ShallowCNN,none,9,1.50515,0.45669,1.39334,0.4924,0.092216
ShallowCNN,none,10,1.46334,0.47316,1.41441,0.501,0.090451
ShallowCNN,none,11,1.44003,0.47947,1.37557,0.4996,0.088526
ShallowCNN,none,12,1.40668,0.49211,1.33144,0.513,0.086448
ShallowCNN,none,13,1.3988,0.49722,1.30183,0.5286,0.084227
ShallowCNN,none,14,1.35752,0.51304,1.3085,0.5232,0.081871
ShallowCNN,none,15,1.32356,0.52702,1.29438,0.5266,0.079389
ShallowCNN,none,16,1.30637,0.53276,1.22169,0.565,0.076791
ShallowCNN,none,17,1.28413,0.54004,1.25422,0.556,0.074088
ShallowCNN,none,18,1.25888,0.54864,1.15887,0.5842,0.071289
ShallowCNN,none,19,1.22499,0.56427,1.13444,0.6016,0.068406
ShallowCNN,none,20,1.19249,0.57584,1.18001,0.5816,0.065451
ShallowCNN,none,21,1.17404,0.58329,1.10737,0.61,0.062434
ShallowCNN,none,22,1.15194,0.58949,1.1413,0.5884,0.059369
ShallowCNN,none,23,1.13624,0.5978,1.0821,0.6188,0.056267
ShallowCNN,none,24,1.10576,0.60853,1.07431,0.617,0.05314
ShallowCNN,none,25,1.08237,0.61711,1.04872,0.6298,0.05
ShallowCNN,none,26,1.06276,0.62433,1.0521,0.6226,0.04686
ShallowCNN,none,27,1.04159,0.63204,1.00733,0.6438,0.043733
ShallowCNN,none,28,1.02312,0.63538,1.01322,0.6442,0.040631
ShallowCNN,none,29,1.00266,0.64633,1.01195,0.6394,0.037566
ShallowCNN,none,30,0.98467,0.65116,0.96851,0.6542,0.034549
ShallowCNN,none,31,0.95819,0.65996,0.95794,0.6562,0.031594
ShallowCNN,none,32,0.94435,0.66807,0.96975,0.6538,0.028711
ShallowCNN,none,33,0.92321,0.67344,0.98497,0.651,0.025912
ShallowCNN,none,34,0.91211,0.67887,0.94256,0.6694,0.023209
ShallowCNN,none,35,0.88824,0.68389,0.93193,0.679,0.020611
ShallowCNN,none,36,0.8712,0.68913,0.95805,0.6714,0.018129
ShallowCNN,none,37,0.86051,0.69524,0.9183,0.6796,0.015773
ShallowCNN,none,38,0.84829,0.69796,0.91852,0.6764,0.013552
ShallowCNN,none,39,0.82949,0.70562,0.91068,0.683,0.011474
ShallowCNN,none,40,0.81856,0.70718,0.9131,0.682,0.009549
ShallowCNN,none,41,0.80984,0.7122,0.9009,0.6888,0.007784
ShallowCNN,none,42,0.79464,0.71547,0.90138,0.6904,0.006185
ShallowCNN,none,43,0.78967,0.71978,0.89749,0.6866,0.004759
ShallowCNN,none,44,0.77724,0.72509,0.89703,0.6882,0.003511
ShallowCNN,none,45,0.77081,0.72582,0.89545,0.692,0.002447
ShallowCNN,none,46,0.76381,0.7286,0.89289,0.6912,0.001571
ShallowCNN,none,47,0.75835,0.72796,0.89203,0.6922,0.000886
