arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
DeepCNN,none,1,4.22207,0.1134,2.28223,0.1264,0.00999
DeepCNN,none,2,2.2853,0.12353,2.24709,0.1544,0.009961
DeepCNN,none,3,2.26824,0.14409,2.2333,0.1708,0.009911
DeepCNN,none,4,2.24679,0.14933,2.19951,0.1862,0.009843
DeepCNN,none,5,2.23315,0.15327,2.19634,0.1898,0.009755
DeepCNN,none,6,2.21773,0.15678,2.17611,0.208,0.009649
DeepCNN,none,7,2.20608,0.16909,2.15768,0.211,0.009524
DeepCNN,none,8,2.1712,0.18147,2.02957,0.268,0.009382
DeepCNN,none,9,2.03404,0.21853,1.85927,0.308,0.009222
DeepCNN,none,10,1.96212,0.23727,1.81986,0.3148,0.009045
DeepCNN,none,11,1.91755,0.25044,1.8025,0.3286,0.008853
DeepCNN,none,12,1.87811,0.27378,1.76097,0.3328,0.008645
DeepCNN,none,13,1.83386,0.29511,1.71427,0.358,0.008423
DeepCNN,none,14,1.78521,0.31404,1.66386,0.3696,0.008187
DeepCNN,none,15,1.7521,0.33213,1.61865,0.4008,0.007939
DeepCNN,none,16,1.72161,0.34616,1.62221,0.3906,0.007679
DeepCNN,none,17,1.69117,0.36471,1.53813,0.4288,0.007409
DeepCNN,none,18,1.64316,0.38431,1.49572,0.4402,0.007129
DeepCNN,none,19,1.60172,0.4022,1.47762,0.4476,0.006841
DeepCNN,none,20,1.55086,0.42556,1.47015,0.4636,0.006545
DeepCNN,none,21,1.50785,0.44198,1.40609,0.4886,0.006243
DeepCNN,none,22,1.46796,0.45836,1.33216,0.5062,0.005937
DeepCNN,none,23,1.42354,0.47811,1.32,0.5172,0.005627
DeepCNN,none,24,1.39197,0.48484,1.28806,0.5278,0.005314
DeepCNN,none,25,1.3656,0.50171,1.25083,0.5436,0.005
DeepCNN,none,26,1.32915,0.51671,1.2267,0.557,0.004686
DeepCNN,none,27,1.29699,0.53024,1.18938,0.5608,0.004373
DeepCNN,none,28,1.26095,0.54418,1.17552,0.5722,0.004063
DeepCNN,none,29,1.22956,0.55731,1.14346,0.588,0.003757
DeepCNN,none,30,1.21196,0.56553,1.12837,0.578,0.003455
DeepCNN,none,31,1.17906,0.57638,1.09803,0.6058,0.003159
DeepCNN,none,32,1.15866,0.58331,1.08507,0.6076,0.002871
DeepCNN,none,33,1.12414,0.59591,1.04598,0.6182,0.002591
DeepCNN,none,34,1.11223,0.60298,1.04001,0.6196,0.002321
DeepCNN,none,35,1.09231,0.61027,1.04269,0.6214,0.002061
DeepCNN,none,36,1.07902,0.61311,1.01695,0.6302,0.001813
DeepCNN,none,37,1.0637,0.62002,0.9972,0.6388,0.001577
DeepCNN,none,38,1.047,0.62678,0.99318,0.6376,0.001355
DeepCNN,none,39,1.03128,0.63398,0.99181,0.6358,0.001147
DeepCNN,none,40,1.02438,0.63487,0.97466,0.6502,0.000955
DeepCNN,none,41,1.01224,0.63987,0.96508,0.6498,0.000778
DeepCNN,none,42,1.00428,0.64278,0.96201,0.6482,0.000618
DeepCNN,none,43,0.98999,0.64976,0.95719,0.6584,0.000476
DeepCNN,none,44,0.9848,0.64687,0.94787,0.6558,0.000351
DeepCNN,none,45,0.98294,0.64924,0.94069,0.6534,0.000245
DeepCNN,none,46,0.97739,0.65051,0.94098,0.6546,0.000157
DeepCNN,none,47,0.97139,0.65442,0.93643,0.6546,8.9e-05
DeepCNN,none,48,0.9675,0.65462,0.93798,0.6572,3.9e-05
DeepCNN,none,49,0.96829,0.65578,0.93695,0.6576,1e-05
DeepCNN,none,50,0.96473,0.6554,0.93684,0.6588,0.0
DeepCNN,basic,1,4.01971,0.12598,2.25892,0.1626,0.00999
DeepCNN,basic,2,2.24272,0.15993,2.16646,0.2072,0.009961
DeepCNN,basic,3,2.16821,0.1858,2.06436,0.2114,0.009911
DeepCNN,basic,4,2.07313,0.21591,1.95,0.2654,0.009843
DeepCNN,basic,5,1.9723,0.25153,1.86496,0.3004,0.009755
DeepCNN,basic,6,1.90299,0.2828,1.78494,0.324,0.009649
DeepCNN,basic,7,1.81845,0.31998,1.71469,0.3576,0.009524
DeepCNN,basic,8,1.74214,0.35249,1.61744,0.4,0.009382
DeepCNN,basic,9,1.65813,0.38438,1.51985,0.4316,0.009222
DeepCNN,basic,10,1.59491,0.41442,1.47966,0.4616,0.009045
DeepCNN,basic,11,1.54361,0.43318,1.39783,0.4834,0.008853
DeepCNN,basic,12,1.49003,0.45509,1.3532,0.5068,0.008645
DeepCNN,basic,13,1.42623,0.48271,1.37579,0.4968,0.008423
DeepCNN,basic,14,1.38477,0.49624,1.27127,0.5326,0.008187
DeepCNN,basic,15,1.34238,0.51511,1.24964,0.5464,0.007939
DeepCNN,basic,16,1.30151,0.53144,1.19877,0.5572,0.007679
DeepCNN,basic,17,1.26425,0.5458,1.17795,0.5728,0.007409
DeepCNN,basic,18,1.22614,0.56027,1.12364,0.6004,0.007129
DeepCNN,basic,19,1.18485,0.57573,1.09439,0.6012,0.006841
DeepCNN,basic,20,1.14399,0.59093,1.0668,0.6162,0.006545
DeepCNN,basic,21,1.10464,0.6064,1.009,0.6336,0.006243
DeepCNN,basic,22,1.07505,0.61727,1.02856,0.6216,0.005937
DeepCNN,basic,23,1.05025,0.628,0.99184,0.6528,0.005627
DeepCNN,basic,24,1.01635,0.6394,0.95101,0.6684,0.005314
DeepCNN,basic,25,1.00025,0.64678,0.93382,0.669,0.005
DeepCNN,basic,26,0.96973,0.65789,0.91431,0.6762,0.004686
DeepCNN,basic,27,0.94359,0.66838,0.91177,0.6756,0.004373
DeepCNN,basic,28,0.92767,0.6718,0.8692,0.6876,0.004063
DeepCNN,basic,29,0.89726,0.68433,0.86936,0.6898,0.003757
DeepCNN,basic,30,0.88956,0.68796,0.84622,0.6976,0.003455
DeepCNN,basic,31,0.86369,0.6964,0.83445,0.7136,0.003159
DeepCNN,basic,32,0.84837,0.70124,0.81106,0.7098,0.002871
DeepCNN,basic,33,0.83404,0.70389,0.81945,0.7112,0.002591
DeepCNN,basic,34,0.81536,0.71187,0.79428,0.7212,0.002321
DeepCNN,basic,35,0.80464,0.71753,0.76689,0.7296,0.002061
DeepCNN,basic,36,0.79148,0.72218,0.78126,0.7254,0.001813
DeepCNN,basic,37,0.77695,0.72704,0.76996,0.7298,0.001577
DeepCNN,basic,38,0.76903,0.7316,0.76892,0.73,0.001355
DeepCNN,basic,39,0.75796,0.73229,0.76202,0.7338,0.001147
DeepCNN,basic,40,0.74899,0.73847,0.74698,0.7372,0.000955
DeepCNN,basic,41,0.73822,0.74227,0.74608,0.735,0.000778
DeepCNN,basic,42,0.73209,0.74249,0.74437,0.7394,0.000618
DeepCNN,basic,43,0.72247,0.747,0.73691,0.7468,0.000476
DeepCNN,basic,44,0.72222,0.74842,0.73019,0.7448,0.000351
DeepCNN,basic,45,0.71529,0.74782,0.73003,0.7438,0.000245
